==== 3D Bin Packing Problem Test Cases ====

==== Number of Items: 50 ====
---- Test Type: 1 : 100 100 100 ----
Test 1 (Type 1, n=50)
Item-Item3D-36: [W=96, H=76, L=17]
Item-Item3D-37: [W=99, H=96, L=38]
Item-Item3D-38: [W=26, H=32, L=30]
Item-Item3D-39: [W=71, H=60, L=91]
Item-Item3D-40: [W=89, H=84, L=27]
Item-Item3D-41: [W=75, H=99, L=14]
Item-Item3D-42: [W=83, H=32, L=68]
Item-Item3D-43: [W=86, H=74, L=24]
Item-Item3D-44: [W=66, H=70, L=6]
Item-Item3D-45: [W=54, H=56, L=57]
Item-Item3D-46: [W=84, H=89, L=43]
Item-Item3D-47: [W=95, H=66, L=1]
Item-Item3D-48: [W=76, H=71, L=49]
Item-Item3D-49: [W=69, H=58, L=77]
Item-Item3D-50: [W=57, H=70, L=94]
Item-Item3D-51: [W=77, H=68, L=14]
Item-Item3D-52: [W=85, H=70, L=83]
Item-Item3D-53: [W=61, H=73, L=98]
Item-Item3D-54: [W=67, H=6, L=92]
Item-Item3D-55: [W=96, H=76, L=10]
Item-Item3D-56: [W=86, H=93, L=16]
Item-Item3D-57: [W=66, H=73, L=43]
Item-Item3D-58: [W=72, H=82, L=46]
Item-Item3D-59: [W=25, H=1, L=43]
Item-Item3D-60: [W=8, H=33, L=26]
Item-Item3D-61: [W=36, H=78, L=76]
Item-Item3D-62: [W=68, H=80, L=17]
Item-Item3D-63: [W=70, H=84, L=44]
Item-Item3D-64: [W=98, H=89, L=42]
Item-Item3D-65: [W=73, H=70, L=4]
Item-Item3D-66: [W=89, H=82, L=6]
Item-Item3D-67: [W=85, H=40, L=66]
Item-Item3D-68: [W=31, H=8, L=11]
Item-Item3D-69: [W=74, H=36, L=96]
Item-Item3D-70: [W=86, H=85, L=1]
Item-Item3D-71: [W=91, H=68, L=46]
Item-Item3D-72: [W=93, H=13, L=75]
Item-Item3D-73: [W=98, H=95, L=5]
Item-Item3D-74: [W=70, H=69, L=34]
Item-Item3D-75: [W=8, H=47, L=9]
Item-Item3D-76: [W=87, H=7, L=99]
Item-Item3D-77: [W=74, H=73, L=43]
Item-Item3D-78: [W=83, H=12, L=76]
Item-Item3D-79: [W=87, H=98, L=37]
Item-Item3D-80: [W=84, H=71, L=31]
Item-Item3D-81: [W=78, H=99, L=31]
Item-Item3D-82: [W=98, H=88, L=14]
Item-Item3D-83: [W=78, H=76, L=39]
Item-Item3D-84: [W=82, H=83, L=49]
Item-Item3D-85: [W=83, H=67, L=32]
Item-Item3D-86: [W=26, H=92, L=96]
Item-Item3D-87: [W=67, H=67, L=49]
Item-Item3D-88: [W=87, H=66, L=41]
Item-Item3D-89: [W=79, H=86, L=7]
Item-Item3D-90: [W=92, H=95, L=38]
Item-Item3D-91: [W=31, H=18, L=49]
Item-Item3D-92: [W=90, H=12, L=86]
Item-Item3D-93: [W=20, H=95, L=92]
Item-Item3D-94: [W=77, H=80, L=33]
Item-Item3D-95: [W=81, H=88, L=20]
Item-Item3D-96: [W=79, H=72, L=47]
Item-Item3D-97: [W=98, H=40, L=77]
Item-Item3D-98: [W=94, H=82, L=19]
Item-Item3D-99: [W=51, H=83, L=53]
Item-Item3D-100: [W=76, H=9, L=88]

---- Test Type: 2 : 100 100 100 ----
Test 1 (Type 2, n=100)
Item-Item3D-1: [W=11, H=98, L=73]
Item-Item3D-2: [W=90, H=44, L=89]
Item-Item3D-3: [W=28, H=84, L=83]
Item-Item3D-4: [W=49, H=68, L=85]
Item-Item3D-5: [W=94, H=93, L=98]
Item-Item3D-6: [W=26, H=68, L=73]
Item-Item3D-7: [W=28, H=91, L=92]
Item-Item3D-8: [W=20, H=97, L=84]
Item-Item3D-9: [W=43, H=70, L=80]
Item-Item3D-10: [W=13, H=89, L=72]
Item-Item3D-11: [W=5, H=71, L=82]
Item-Item3D-12: [W=14, H=85, L=74]
Item-Item3D-13: [W=19, H=81, L=96]
Item-Item3D-14: [W=4, H=70, L=73]
Item-Item3D-15: [W=48, H=96, L=89]
Item-Item3D-16: [W=23, H=36, L=16]
Item-Item3D-17: [W=30, H=73, L=80]
Item-Item3D-18: [W=12, H=77, L=96]
Item-Item3D-19: [W=69, H=31, L=100]
Item-Item3D-20: [W=36, H=4, L=45]
Item-Item3D-21: [W=79, H=18, L=92]
Item-Item3D-22: [W=5, H=67, L=80]
Item-Item3D-23: [W=39, H=78, L=78]
Item-Item3D-24: [W=1, H=76, L=85]
Item-Item3D-25: [W=29, H=96, L=74]
Item-Item3D-26: [W=89, H=98, L=47]
Item-Item3D-27: [W=31, H=72, L=71]
Item-Item3D-28: [W=87, H=83, L=33]
Item-Item3D-29: [W=1, H=92, L=74]
Item-Item3D-30: [W=16, H=93, L=66]
Item-Item3D-31: [W=30, H=23, L=34]
Item-Item3D-32: [W=32, H=99, L=100]
Item-Item3D-33: [W=95, H=92, L=41]
Item-Item3D-34: [W=83, H=73, L=33]
Item-Item3D-35: [W=79, H=37, L=86]
Item-Item3D-36: [W=99, H=8, L=88]
Item-Item3D-37: [W=40, H=86, L=76]
Item-Item3D-38: [W=90, H=80, L=19]
Item-Item3D-39: [W=1, H=88, L=83]
Item-Item3D-40: [W=14, H=80, L=80]
Item-Item3D-41: [W=34, H=67, L=73]
Item-Item3D-42: [W=24, H=75, L=82]
Item-Item3D-43: [W=46, H=69, L=76]
Item-Item3D-44: [W=99, H=68, L=36]
Item-Item3D-45: [W=62, H=59, L=51]
Item-Item3D-46: [W=27, H=73, L=75]
Item-Item3D-47: [W=38, H=94, L=89]
Item-Item3D-48: [W=83, H=29, L=88]
Item-Item3D-49: [W=87, H=82, L=15]
Item-Item3D-50: [W=50, H=69, L=77]
Item-Item3D-51: [W=5, H=70, L=81]
Item-Item3D-52: [W=4, H=83, L=75]
Item-Item3D-53: [W=44, H=38, L=42]
Item-Item3D-54: [W=20, H=93, L=71]
Item-Item3D-55: [W=42, H=11, L=25]
Item-Item3D-56: [W=10, H=50, L=15]
Item-Item3D-57: [W=48, H=66, L=77]
Item-Item3D-58: [W=4, H=3, L=14]
Item-Item3D-59: [W=83, H=84, L=84]
Item-Item3D-60: [W=31, H=73, L=70]
Item-Item3D-61: [W=9, H=70, L=100]
Item-Item3D-62: [W=31, H=30, L=17]
Item-Item3D-63: [W=41, H=81, L=76]
Item-Item3D-64: [W=36, H=72, L=85]
Item-Item3D-65: [W=34, H=43, L=17]
Item-Item3D-66: [W=48, H=91, L=75]
Item-Item3D-67: [W=41, H=7, L=13]
Item-Item3D-68: [W=2, H=95, L=68]
Item-Item3D-69: [W=34, H=24, L=25]
Item-Item3D-70: [W=13, H=78, L=88]
Item-Item3D-71: [W=97, H=45, L=100]
Item-Item3D-72: [W=41, H=86, L=82]
Item-Item3D-73: [W=37, H=90, L=73]
Item-Item3D-74: [W=9, H=81, L=76]
Item-Item3D-75: [W=7, H=82, L=90]
Item-Item3D-76: [W=27, H=93, L=92]
Item-Item3D-77: [W=47, H=71, L=80]
Item-Item3D-78: [W=47, H=78, L=81]
Item-Item3D-79: [W=73, H=45, L=73]
Item-Item3D-80: [W=48, H=90, L=82]
Item-Item3D-81: [W=17, H=75, L=85]
Item-Item3D-82: [W=9, H=82, L=78]
Item-Item3D-83: [W=20, H=78, L=88]
Item-Item3D-84: [W=20, H=80, L=99]
Item-Item3D-85: [W=79, H=2, L=91]
Item-Item3D-86: [W=52, H=53, L=51]
Item-Item3D-87: [W=40, H=84, L=87]
Item-Item3D-88: [W=26, H=29, L=12]
Item-Item3D-89: [W=14, H=97, L=74]
Item-Item3D-90: [W=3, H=43, L=27]
Item-Item3D-91: [W=26, H=77, L=98]
Item-Item3D-92: [W=24, H=80, L=90]
Item-Item3D-93: [W=49, H=97, L=70]
Item-Item3D-94: [W=38, H=76, L=80]
Item-Item3D-95: [W=31, H=92, L=99]
Item-Item3D-96: [W=71, H=32, L=86]
Item-Item3D-97: [W=60, H=57, L=54]
Item-Item3D-98: [W=8, H=67, L=97]
Item-Item3D-99: [W=83, H=18, L=68]
Item-Item3D-100: [W=80, H=26, L=67]

Test 2 (Type 2, n=100)
Item-Item3D-1: [W=92, H=71, L=27]
Item-Item3D-2: [W=1, H=28, L=22]
Item-Item3D-3: [W=35, H=88, L=89]
Item-Item3D-4: [W=61, H=83, L=73]
Item-Item3D-5: [W=40, H=12, L=10]
Item-Item3D-6: [W=89, H=56, L=85]
Item-Item3D-7: [W=87, H=49, L=84]
Item-Item3D-8: [W=99, H=3, L=100]
Item-Item3D-9: [W=67, H=97, L=6]
Item-Item3D-10: [W=93, H=69, L=23]
Item-Item3D-11: [W=72, H=99, L=12]
Item-Item3D-12: [W=35, H=77, L=95]
Item-Item3D-13: [W=1, H=93, L=92]
Item-Item3D-14: [W=84, H=19, L=85]
Item-Item3D-15: [W=47, H=96, L=66]
Item-Item3D-16: [W=33, H=28, L=30]
Item-Item3D-17: [W=76, H=92, L=22]
Item-Item3D-18: [W=7, H=32, L=35]
Item-Item3D-19: [W=15, H=99, L=77]
Item-Item3D-20: [W=73, H=45, L=68]
Item-Item3D-21: [W=72, H=79, L=5]
Item-Item3D-22: [W=93, H=100, L=31]
Item-Item3D-23: [W=11, H=84, L=71]
Item-Item3D-24: [W=13, H=85, L=92]
Item-Item3D-25: [W=49, H=66, L=81]
Item-Item3D-26: [W=66, H=96, L=29]
Item-Item3D-27: [W=13, H=83, L=69]
Item-Item3D-28: [W=46, H=36, L=37]
Item-Item3D-29: [W=32, H=89, L=77]
Item-Item3D-30: [W=28, H=75, L=67]
Item-Item3D-31: [W=13, H=88, L=91]
Item-Item3D-32: [W=77, H=59, L=56]
Item-Item3D-33: [W=6, H=87, L=88]
Item-Item3D-34: [W=37, H=67, L=89]
Item-Item3D-35: [W=27, H=99, L=76]
Item-Item3D-36: [W=11, H=96, L=77]
Item-Item3D-37: [W=17, H=89, L=86]
Item-Item3D-38: [W=26, H=66, L=94]
Item-Item3D-39: [W=89, H=28, L=98]
Item-Item3D-40: [W=32, H=76, L=86]
Item-Item3D-41: [W=66, H=82, L=37]
Item-Item3D-42: [W=3, H=45, L=48]
Item-Item3D-43: [W=76, H=71, L=24]
Item-Item3D-44: [W=7, H=86, L=85]
Item-Item3D-45: [W=96, H=93, L=33]
Item-Item3D-46: [W=44, H=93, L=96]
Item-Item3D-47: [W=12, H=82, L=86]
Item-Item3D-48: [W=66, H=57, L=58]
Item-Item3D-49: [W=8, H=69, L=69]
Item-Item3D-50: [W=84, H=91, L=51]
Item-Item3D-51: [W=20, H=86, L=81]
Item-Item3D-52: [W=36, H=78, L=76]
Item-Item3D-53: [W=13, H=10, L=27]
Item-Item3D-54: [W=79, H=89, L=14]
Item-Item3D-55: [W=14, H=88, L=67]
Item-Item3D-56: [W=15, H=11, L=41]
Item-Item3D-57: [W=63, H=72, L=69]
Item-Item3D-58: [W=13, H=68, L=70]
Item-Item3D-59: [W=26, H=82, L=73]
Item-Item3D-60: [W=29, H=77, L=98]
Item-Item3D-61: [W=84, H=44, L=71]
Item-Item3D-62: [W=35, H=84, L=81]
Item-Item3D-63: [W=87, H=91, L=66]
Item-Item3D-64: [W=28, H=71, L=97]
Item-Item3D-65: [W=96, H=55, L=96]
Item-Item3D-66: [W=25, H=83, L=92]
Item-Item3D-67: [W=91, H=58, L=94]
Item-Item3D-68: [W=49, H=96, L=89]
Item-Item3D-69: [W=80, H=7, L=89]
Item-Item3D-70: [W=44, H=79, L=100]
Item-Item3D-71: [W=19, H=66, L=71]
Item-Item3D-72: [W=4, H=100, L=95]
Item-Item3D-73: [W=16, H=68, L=78]
Item-Item3D-74: [W=3, H=83, L=86]
Item-Item3D-75: [W=89, H=30, L=91]
Item-Item3D-76: [W=32, H=96, L=81]
Item-Item3D-77: [W=4, H=78, L=95]
Item-Item3D-78: [W=9, H=100, L=98]
Item-Item3D-79: [W=82, H=16, L=73]
Item-Item3D-80: [W=40, H=73, L=91]
Item-Item3D-81: [W=52, H=65, L=88]
Item-Item3D-82: [W=81, H=98, L=29]
Item-Item3D-83: [W=98, H=74, L=21]
Item-Item3D-84: [W=75, H=11, L=72]
Item-Item3D-85: [W=94, H=42, L=77]
Item-Item3D-86: [W=6, H=68, L=74]
Item-Item3D-87: [W=67, H=81, L=18]
Item-Item3D-88: [W=41, H=67, L=81]
Item-Item3D-89: [W=79, H=98, L=81]
Item-Item3D-90: [W=49, H=99, L=68]
Item-Item3D-91: [W=63, H=73, L=56]
Item-Item3D-92: [W=23, H=93, L=70]
Item-Item3D-93: [W=1, H=69, L=74]
Item-Item3D-94: [W=41, H=69, L=78]
Item-Item3D-95: [W=39, H=26, L=50]
Item-Item3D-96: [W=39, H=81, L=94]
Item-Item3D-97: [W=92, H=76, L=76]
Item-Item3D-98: [W=36, H=66, L=75]
Item-Item3D-99: [W=73, H=99, L=20]
Item-Item3D-100: [W=9, H=92, L=76]

Test 3 (Type 2, n=100)
Item-Item3D-1: [W=33, H=77, L=78]
Item-Item3D-2: [W=44, H=81, L=86]
Item-Item3D-3: [W=47, H=93, L=68]
Item-Item3D-4: [W=42, H=82, L=89]
Item-Item3D-5: [W=23, H=98, L=96]
Item-Item3D-6: [W=79, H=12, L=74]
Item-Item3D-7: [W=13, H=87, L=95]
Item-Item3D-8: [W=70, H=71, L=25]
Item-Item3D-9: [W=89, H=96, L=7]
Item-Item3D-10: [W=33, H=66, L=91]
Item-Item3D-11: [W=25, H=95, L=67]
Item-Item3D-12: [W=47, H=93, L=83]
Item-Item3D-13: [W=87, H=99, L=54]
Item-Item3D-14: [W=81, H=68, L=48]
Item-Item3D-15: [W=98, H=93, L=36]
Item-Item3D-16: [W=22, H=96, L=95]
Item-Item3D-17: [W=4, H=13, L=8]
Item-Item3D-18: [W=13, H=91, L=66]
Item-Item3D-19: [W=22, H=93, L=73]
Item-Item3D-20: [W=30, H=35, L=47]
Item-Item3D-21: [W=23, H=80, L=95]
Item-Item3D-22: [W=37, H=92, L=77]
Item-Item3D-23: [W=20, H=67, L=77]
Item-Item3D-24: [W=35, H=70, L=78]
Item-Item3D-25: [W=7, H=95, L=100]
Item-Item3D-26: [W=98, H=68, L=93]
Item-Item3D-27: [W=41, H=98, L=98]
Item-Item3D-28: [W=14, H=89, L=80]
Item-Item3D-29: [W=15, H=99, L=82]
Item-Item3D-30: [W=30, H=80, L=70]
Item-Item3D-31: [W=98, H=48, L=72]
Item-Item3D-32: [W=77, H=54, L=85]
Item-Item3D-33: [W=14, H=82, L=76]
Item-Item3D-34: [W=19, H=66, L=84]
Item-Item3D-35: [W=21, H=37, L=29]
Item-Item3D-36: [W=78, H=66, L=2]
Item-Item3D-37: [W=20, H=1, L=2]
Item-Item3D-38: [W=50, H=59, L=68]
Item-Item3D-39: [W=45, H=85, L=92]
Item-Item3D-40: [W=42, H=78, L=69]
Item-Item3D-41: [W=9, H=69, L=100]
Item-Item3D-42: [W=47, H=89, L=74]
Item-Item3D-43: [W=55, H=74, L=60]
Item-Item3D-44: [W=4, H=83, L=73]
Item-Item3D-45: [W=87, H=68, L=7]
Item-Item3D-46: [W=28, H=98, L=86]
Item-Item3D-47: [W=15, H=68, L=81]
Item-Item3D-48: [W=75, H=90, L=21]
Item-Item3D-49: [W=16, H=95, L=86]
Item-Item3D-50: [W=72, H=21, L=81]
Item-Item3D-51: [W=2, H=100, L=67]
Item-Item3D-52: [W=40, H=67, L=86]
Item-Item3D-53: [W=36, H=93, L=71]
Item-Item3D-54: [W=3, H=68, L=79]
Item-Item3D-55: [W=31, H=95, L=86]
Item-Item3D-56: [W=87, H=79, L=54]
Item-Item3D-57: [W=26, H=27, L=30]
Item-Item3D-58: [W=48, H=97, L=91]
Item-Item3D-59: [W=11, H=71, L=72]
Item-Item3D-60: [W=89, H=100, L=11]
Item-Item3D-61: [W=91, H=92, L=48]
Item-Item3D-62: [W=13, H=91, L=86]
Item-Item3D-63: [W=24, H=98, L=71]
Item-Item3D-64: [W=77, H=84, L=17]
Item-Item3D-65: [W=80, H=74, L=18]
Item-Item3D-66: [W=85, H=83, L=2]
Item-Item3D-67: [W=49, H=13, L=8]
Item-Item3D-68: [W=31, H=79, L=77]
Item-Item3D-69: [W=80, H=72, L=80]
Item-Item3D-70: [W=91, H=12, L=75]
Item-Item3D-71: [W=42, H=86, L=86]
Item-Item3D-72: [W=37, H=96, L=68]
Item-Item3D-73: [W=13, H=74, L=91]
Item-Item3D-74: [W=15, H=39, L=28]
Item-Item3D-75: [W=11, H=75, L=70]
Item-Item3D-76: [W=44, H=66, L=68]
Item-Item3D-77: [W=79, H=61, L=84]
Item-Item3D-78: [W=27, H=83, L=99]
Item-Item3D-79: [W=38, H=79, L=70]
Item-Item3D-80: [W=34, H=41, L=34]
Item-Item3D-81: [W=7, H=75, L=83]
Item-Item3D-82: [W=76, H=94, L=25]
Item-Item3D-83: [W=44, H=88, L=96]
Item-Item3D-84: [W=12, H=78, L=88]
Item-Item3D-85: [W=2, H=82, L=70]
Item-Item3D-86: [W=74, H=87, L=43]
Item-Item3D-87: [W=96, H=100, L=44]
Item-Item3D-88: [W=42, H=98, L=77]
Item-Item3D-89: [W=50, H=72, L=81]
Item-Item3D-90: [W=80, H=96, L=26]
Item-Item3D-91: [W=33, H=95, L=81]
Item-Item3D-92: [W=100, H=93, L=61]
Item-Item3D-93: [W=3, H=22, L=11]
Item-Item3D-94: [W=38, H=98, L=74]
Item-Item3D-95: [W=100, H=44, L=71]
Item-Item3D-96: [W=10, H=88, L=71]
Item-Item3D-97: [W=20, H=83, L=92]
Item-Item3D-98: [W=3, H=96, L=69]
Item-Item3D-99: [W=50, H=41, L=39]
Item-Item3D-100: [W=79, H=11, L=74]

Test 4 (Type 2, n=100)
Item-Item3D-1: [W=48, H=34, L=33]
Item-Item3D-2: [W=96, H=8, L=84]
Item-Item3D-3: [W=39, H=37, L=16]
Item-Item3D-4: [W=8, H=73, L=70]
Item-Item3D-5: [W=16, H=81, L=75]
Item-Item3D-6: [W=11, H=88, L=78]
Item-Item3D-7: [W=6, H=81, L=76]
Item-Item3D-8: [W=93, H=15, L=87]
Item-Item3D-9: [W=1, H=81, L=91]
Item-Item3D-10: [W=29, H=15, L=35]
Item-Item3D-11: [W=73, H=50, L=66]
Item-Item3D-12: [W=10, H=90, L=85]
Item-Item3D-13: [W=41, H=86, L=93]
Item-Item3D-14: [W=26, H=93, L=97]
Item-Item3D-15: [W=52, H=73, L=68]
Item-Item3D-16: [W=40, H=98, L=74]
Item-Item3D-17: [W=34, H=79, L=91]
Item-Item3D-18: [W=53, H=50, L=98]
Item-Item3D-19: [W=27, H=67, L=76]
Item-Item3D-20: [W=74, H=84, L=18]
Item-Item3D-21: [W=97, H=92, L=16]
Item-Item3D-22: [W=36, H=91, L=67]
Item-Item3D-23: [W=43, H=87, L=66]
Item-Item3D-24: [W=83, H=71, L=1]
Item-Item3D-25: [W=47, H=74, L=77]
Item-Item3D-26: [W=35, H=78, L=98]
Item-Item3D-27: [W=32, H=71, L=68]
Item-Item3D-28: [W=53, H=70, L=61]
Item-Item3D-29: [W=65, H=75, L=62]
Item-Item3D-30: [W=37, H=86, L=88]
Item-Item3D-31: [W=46, H=73, L=89]
Item-Item3D-32: [W=27, H=66, L=73]
Item-Item3D-33: [W=48, H=99, L=81]
Item-Item3D-34: [W=36, H=93, L=91]
Item-Item3D-35: [W=14, H=89, L=92]
Item-Item3D-36: [W=49, H=87, L=89]
Item-Item3D-37: [W=87, H=89, L=35]
Item-Item3D-38: [W=7, H=68, L=97]
Item-Item3D-39: [W=91, H=75, L=34]
Item-Item3D-40: [W=95, H=82, L=4]
Item-Item3D-41: [W=3, H=75, L=85]
Item-Item3D-42: [W=28, H=97, L=98]
Item-Item3D-43: [W=15, H=86, L=89]
Item-Item3D-44: [W=1, H=86, L=88]
Item-Item3D-45: [W=47, H=88, L=85]
Item-Item3D-46: [W=11, H=89, L=94]
Item-Item3D-47: [W=10, H=69, L=70]
Item-Item3D-48: [W=48, H=27, L=42]
Item-Item3D-49: [W=16, H=49, L=36]
Item-Item3D-50: [W=88, H=99, L=78]
Item-Item3D-51: [W=89, H=91, L=61]
Item-Item3D-52: [W=48, H=71, L=74]
Item-Item3D-53: [W=35, H=66, L=95]
Item-Item3D-54: [W=40, H=91, L=69]
Item-Item3D-55: [W=87, H=81, L=69]
Item-Item3D-56: [W=12, H=75, L=74]
Item-Item3D-57: [W=23, H=79, L=97]
Item-Item3D-58: [W=100, H=41, L=76]
Item-Item3D-59: [W=43, H=78, L=79]
Item-Item3D-60: [W=71, H=43, L=78]
Item-Item3D-61: [W=97, H=68, L=44]
Item-Item3D-62: [W=11, H=69, L=95]
Item-Item3D-63: [W=35, H=76, L=68]
Item-Item3D-64: [W=17, H=9, L=40]
Item-Item3D-65: [W=80, H=71, L=87]
Item-Item3D-66: [W=76, H=70, L=44]
Item-Item3D-67: [W=47, H=87, L=89]
Item-Item3D-68: [W=17, H=8, L=21]
Item-Item3D-69: [W=29, H=72, L=71]
Item-Item3D-70: [W=40, H=42, L=20]
Item-Item3D-71: [W=25, H=22, L=36]
Item-Item3D-72: [W=7, H=83, L=80]
Item-Item3D-73: [W=5, H=70, L=76]
Item-Item3D-74: [W=34, H=97, L=89]
Item-Item3D-75: [W=40, H=31, L=29]
Item-Item3D-76: [W=25, H=77, L=68]
Item-Item3D-77: [W=90, H=80, L=21]
Item-Item3D-78: [W=10, H=66, L=100]
Item-Item3D-79: [W=71, H=99, L=36]
Item-Item3D-80: [W=74, H=100, L=97]
Item-Item3D-81: [W=96, H=8, L=89]
Item-Item3D-82: [W=7, H=74, L=67]
Item-Item3D-83: [W=94, H=66, L=92]
Item-Item3D-84: [W=97, H=56, L=56]
Item-Item3D-85: [W=90, H=2, L=99]
Item-Item3D-86: [W=16, H=98, L=83]
Item-Item3D-87: [W=51, H=72, L=96]
Item-Item3D-88: [W=7, H=100, L=86]
Item-Item3D-89: [W=26, H=71, L=69]
Item-Item3D-90: [W=16, H=97, L=82]
Item-Item3D-91: [W=74, H=17, L=66]
Item-Item3D-92: [W=30, H=42, L=9]
Item-Item3D-93: [W=92, H=99, L=88]
Item-Item3D-94: [W=83, H=17, L=93]
Item-Item3D-95: [W=8, H=49, L=7]
Item-Item3D-96: [W=39, H=85, L=66]
Item-Item3D-97: [W=8, H=71, L=95]
Item-Item3D-98: [W=39, H=74, L=84]
Item-Item3D-99: [W=89, H=73, L=47]
Item-Item3D-100: [W=26, H=74, L=67]

Test 5 (Type 2, n=100)
Item-Item3D-1: [W=45, H=85, L=100]
Item-Item3D-2: [W=39, H=43, L=14]
Item-Item3D-3: [W=19, H=97, L=75]
Item-Item3D-4: [W=80, H=92, L=92]
Item-Item3D-5: [W=92, H=1, L=68]
Item-Item3D-6: [W=67, H=100, L=48]
Item-Item3D-7: [W=47, H=100, L=68]
Item-Item3D-8: [W=36, H=93, L=94]
Item-Item3D-9: [W=18, H=72, L=79]
Item-Item3D-10: [W=19, H=71, L=86]
Item-Item3D-11: [W=86, H=52, L=56]
Item-Item3D-12: [W=12, H=36, L=48]
Item-Item3D-13: [W=84, H=38, L=93]
Item-Item3D-14: [W=63, H=92, L=64]
Item-Item3D-15: [W=13, H=76, L=75]
Item-Item3D-16: [W=2, H=7, L=28]
Item-Item3D-17: [W=8, H=97, L=86]
Item-Item3D-18: [W=75, H=98, L=33]
Item-Item3D-19: [W=1, H=84, L=69]
Item-Item3D-20: [W=19, H=96, L=88]
Item-Item3D-21: [W=94, H=31, L=98]
Item-Item3D-22: [W=1, H=73, L=89]
Item-Item3D-23: [W=31, H=73, L=73]
Item-Item3D-24: [W=26, H=70, L=84]
Item-Item3D-25: [W=83, H=8, L=69]
Item-Item3D-26: [W=76, H=54, L=75]
Item-Item3D-27: [W=24, H=92, L=78]
Item-Item3D-28: [W=24, H=73, L=87]
Item-Item3D-29: [W=34, H=97, L=68]
Item-Item3D-30: [W=48, H=72, L=79]
Item-Item3D-31: [W=43, H=83, L=93]
Item-Item3D-32: [W=34, H=66, L=94]
Item-Item3D-33: [W=14, H=11, L=46]
Item-Item3D-34: [W=82, H=96, L=14]
Item-Item3D-35: [W=5, H=89, L=90]
Item-Item3D-36: [W=16, H=92, L=80]
Item-Item3D-37: [W=21, H=95, L=89]
Item-Item3D-38: [W=97, H=81, L=85]
Item-Item3D-39: [W=7, H=80, L=88]
Item-Item3D-40: [W=36, H=96, L=90]
Item-Item3D-41: [W=18, H=92, L=75]
Item-Item3D-42: [W=34, H=70, L=66]
Item-Item3D-43: [W=28, H=97, L=94]
Item-Item3D-44: [W=9, H=67, L=94]
Item-Item3D-45: [W=32, H=80, L=85]
Item-Item3D-46: [W=3, H=89, L=93]
Item-Item3D-47: [W=89, H=18, L=75]
Item-Item3D-48: [W=29, H=92, L=77]
Item-Item3D-49: [W=5, H=89, L=76]
Item-Item3D-50: [W=70, H=75, L=34]
Item-Item3D-51: [W=40, H=83, L=72]
Item-Item3D-52: [W=82, H=93, L=53]
Item-Item3D-53: [W=1, H=100, L=82]
Item-Item3D-54: [W=27, H=66, L=69]
Item-Item3D-55: [W=21, H=82, L=67]
Item-Item3D-56: [W=24, H=100, L=82]
Item-Item3D-57: [W=16, H=70, L=84]
Item-Item3D-58: [W=17, H=16, L=43]
Item-Item3D-59: [W=27, H=75, L=71]
Item-Item3D-60: [W=13, H=92, L=95]
Item-Item3D-61: [W=81, H=81, L=46]
Item-Item3D-62: [W=69, H=81, L=21]
Item-Item3D-63: [W=95, H=97, L=17]
Item-Item3D-64: [W=45, H=86, L=98]
Item-Item3D-65: [W=11, H=100, L=75]
Item-Item3D-66: [W=88, H=94, L=8]
Item-Item3D-67: [W=31, H=75, L=90]
Item-Item3D-68: [W=46, H=82, L=99]
Item-Item3D-69: [W=32, H=99, L=96]
Item-Item3D-70: [W=40, H=75, L=98]
Item-Item3D-71: [W=49, H=15, L=49]
Item-Item3D-72: [W=33, H=88, L=81]
Item-Item3D-73: [W=18, H=92, L=68]
Item-Item3D-74: [W=28, H=99, L=88]
Item-Item3D-75: [W=9, H=68, L=98]
Item-Item3D-76: [W=95, H=71, L=32]
Item-Item3D-77: [W=81, H=72, L=42]
Item-Item3D-78: [W=42, H=67, L=90]
Item-Item3D-79: [W=70, H=90, L=17]
Item-Item3D-80: [W=24, H=92, L=67]
Item-Item3D-81: [W=84, H=91, L=85]
Item-Item3D-82: [W=27, H=99, L=99]
Item-Item3D-83: [W=67, H=82, L=35]
Item-Item3D-84: [W=95, H=3, L=80]
Item-Item3D-85: [W=14, H=69, L=88]
Item-Item3D-86: [W=17, H=82, L=77]
Item-Item3D-87: [W=20, H=33, L=37]
Item-Item3D-88: [W=11, H=98, L=82]
Item-Item3D-89: [W=11, H=67, L=98]
Item-Item3D-90: [W=3, H=25, L=44]
Item-Item3D-91: [W=35, H=91, L=83]
Item-Item3D-92: [W=63, H=96, L=81]
Item-Item3D-93: [W=13, H=74, L=71]
Item-Item3D-94: [W=34, H=68, L=73]
Item-Item3D-95: [W=34, H=26, L=13]
Item-Item3D-96: [W=27, H=79, L=100]
Item-Item3D-97: [W=20, H=67, L=81]
Item-Item3D-98: [W=73, H=4, L=75]
Item-Item3D-99: [W=90, H=70, L=7]
Item-Item3D-100: [W=44, H=17, L=45]

Test 6 (Type 2, n=100)
Item-Item3D-1: [W=20, H=72, L=82]
Item-Item3D-2: [W=3, H=69, L=93]
Item-Item3D-3: [W=25, H=71, L=70]
Item-Item3D-4: [W=79, H=77, L=86]
Item-Item3D-5: [W=67, H=4, L=81]
Item-Item3D-6: [W=46, H=87, L=82]
Item-Item3D-7: [W=66, H=98, L=23]
Item-Item3D-8: [W=47, H=76, L=92]
Item-Item3D-9: [W=1, H=91, L=91]
Item-Item3D-10: [W=46, H=67, L=79]
